#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-22T17:03:29 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5daf2e714d4d	
#INFO	-out.max=9999	
#INFO	queryParameters=14	
#-oc.form=dec
#-out.max=9999
#-nav=cat:J/ApJS/193/25&tab:{J/ApJS/193/25/ysos}&tab:{J/ApJS/193/25/table8}&key:source=J/ApJS/193/25/ysos&key:source=J/ApJS/193/25/table8&HTTPPRM:&&-ref=VIZ5daf2e714d4d&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-x.rs=10
#-source=J/ApJS/193/25/ysos,J/ApJS/193/25/table8
#-order=I
#-out=cl
#-out=RAJ2000
#-out=DEJ2000
#-out=2MASS
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_21930025
#Name: J/ApJS/193/25
#Title: The NAN complex. II. MIPS observations (Rebull+, 2011)
#Table	J_ApJS_193_25_ysos:
#Name: J/ApJS/193/25/ysos
#Title: Complete list of YSOs: Spitzer measurements and  YSO criteria
#Column	cl	(A4)	YSO class (2)	[ucd=src.class]
#Column	RAJ2000	(F10.6)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	2MASS	(A16)	2MASS name (HHMMSSss+DDMMSSs)	[ucd=meta.id.cross]
cl;RAJ2000;DEJ2000;2MASS
I   ;312.576721;+44.436665;20501839+4426120
I   ;312.578461;+44.922348;20501884+4455204
flat;312.585297;+44.834728;20502047+4450049
II  ;312.590302;+44.406849;20502166+4424246
I   ;312.590729;+44.850361;20502183+4451016
flat;312.591370;+44.218578;20502194+4413068
II  ;312.593445;+44.321548;20502242+4419175
flat;312.593933;+44.905613;20502253+4454203
I   ;312.596619;+43.316177;
III ;312.600128;+43.747909;20502401+4344525
I   ;312.601349;+44.222507;
flat;312.602020;+44.850452;20502446+4451018
unkn;312.602034;+44.319103;
II  ;312.602387;+44.920921;20502457+4455154
I   ;312.614044;+44.331848;20502736+4419545
unkn;312.614384;+44.342738;
flat;312.615478;+44.391411;20502771+4423290
I   ;312.616425;+44.535542;20502795+4432081
unkn;312.617983;+44.332809;
II  ;312.621826;+44.897522;20502923+4453512
I   ;312.623596;+44.297367;
flat;312.627167;+44.422333;20503052+4425204
unkn;312.631090;+44.284037;
I   ;312.634308;+44.418892;
II  ;312.634705;+44.438187;20503232+4426174
III ;312.635834;+43.772228;20503260+4346202
II  ;312.637756;+44.260750;20503307+4415387
unkn;312.638118;+44.418816;
I   ;312.644409;+44.373962;
I   ;312.645966;+44.420456;20503504+4425139
II  ;312.646057;+44.441586;20503505+4426296
I   ;312.647888;+44.369858;
flat;312.648438;+44.304169;
III ;312.652344;+43.141354;20503657+4308288
I   ;312.653900;+44.361343;20503695+4421408
II  ;312.654266;+44.306820;20503703+4418247
II  ;312.655670;+44.348038;20503738+4420531
II  ;312.656036;+44.354462;20503747+4421159
II  ;312.656708;+44.883381;20503759+4453000
II  ;312.657562;+44.296028;
III ;312.658203;+45.182419;20503796+4510568
I   ;312.658539;+44.312431;20503803+4418448
flat;312.666138;+44.376183;20503988+4422344
flat;312.666870;+44.316887;20504005+4419009
II  ;312.667908;+44.513626;20504029+4430490
II  ;312.668610;+44.339340;20504045+4420217
II  ;312.668915;+44.347439;20504053+4420506
II  ;312.670441;+44.003864;20504091+4400139
I   ;312.670929;+44.302269;
unkn;312.677841;+44.366520;
flat;312.678467;+44.430203;20504283+4425488
II  ;312.681335;+44.264385;20504353+4415518
flat;312.682526;+44.280182;20504381+4416487
flat;312.682587;+43.806568;20504380+4348237
flat;312.683807;+44.566753;
flat;312.686798;+44.288525;20504484+4417186
II  ;312.687347;+44.349651;20504496+4420589
II  ;312.687378;+44.265461;20504494+4415552
I   ;312.689148;+44.363670;20504537+4421494
II  ;312.689636;+43.744804;20504551+4344412
II  ;312.690643;+44.919922;20504576+4455118
I   ;312.691376;+44.412891;20504593+4424466
II  ;312.691956;+44.319492;20504608+4419100
unkn;312.694007;+44.291025;
II  ;312.697846;+44.731106;20504747+4443518
II  ;312.698852;+45.011036;20504770+4500398
flat;312.699402;+44.986095;20504784+4459100
unkn;312.701333;+44.259213;
II  ;312.702332;+44.284248;20504858+4417033
II  ;312.702423;+44.351265;20504858+4421045
I   ;312.702850;+44.254379;
II  ;312.702911;+44.348137;20504870+4420532
II  ;312.703369;+44.323177;20504880+4419233
flat;312.704804;+44.956516;20504914+4457237
II  ;312.705505;+44.899536;20504933+4453583
flat;312.706696;+44.908657;
I   ;312.706879;+44.411446;20504964+4424412
I   ;312.709778;+44.411118;20505033+4424402
I   ;312.710053;+44.836533;20505039+4450115
unkn;312.710269;+44.396113;
II  ;312.715454;+44.346069;20505171+4420458
III ;312.717957;+45.132431;20505230+4507568
II  ;312.719086;+44.278927;20505257+4416441
II  ;312.721558;+44.398243;20505317+4423535
I   ;312.722107;+45.015995;
II  ;312.723236;+44.350204;20505357+4421008
II  ;312.723450;+44.408443;20505363+4424305
I   ;312.723816;+44.266201;
unkn;312.723907;+44.262467;
I   ;312.724121;+44.321548;
II  ;312.724152;+44.355152;
II  ;312.727020;+43.773327;20505446+4346238
I   ;312.728577;+45.265877;20505485+4515572
II  ;312.731811;+44.297245;20505563+4417502
unkn;312.732076;+44.382441;
II  ;312.734039;+44.305992;20505619+4418218
II  ;312.738983;+44.806904;20505733+4448248
III ;312.739746;+44.236027;20505754+4414096
II  ;312.740692;+44.719044;20505774+4443085
unkn;312.741203;+44.388960;
flat;312.742340;+44.707134;20505816+4442260
II  ;312.743012;+44.242386;20505834+4414323
III ;312.743256;+44.245602;20505838+4414444
III ;312.744141;+43.622440;20505858+4337208
II  ;312.744568;+44.291893;20505870+4417308
II  ;312.745850;+44.331772;20505901+4419542
II  ;312.746521;+44.733620;20505915+4444012
II  ;312.747894;+44.327484;20505948+4419390
II  ;312.748901;+44.680332;20505974+4440491
I   ;312.748932;+44.716324;20505975+4442589
I   ;312.749634;+44.719860;20505988+4443114
flat;312.750092;+44.864002;20510000+4451504
flat;312.750855;+44.874664;20510020+4452290
unkn;312.750958;+44.469233;
II  ;312.753784;+44.530514;20510089+4431497
II  ;312.756531;+44.261650;20510157+4415420
II  ;312.758179;+44.509266;20510194+4430335
flat;312.758972;+44.744327;20510215+4444394
II  ;312.759003;+44.335850;20510217+4420091
III ;312.759308;+44.231125;20510222+4413521
I   ;312.760346;+44.214481;20510251+4412521
flat;312.761292;+44.313000;20510270+4418467
III ;312.761322;+43.825531;20510271+4349318
II  ;312.762817;+44.400734;20510310+4424028
II  ;312.763763;+44.244430;20510336+4414402
II  ;312.763946;+44.404278;20510333+4424155
II  ;312.765106;+44.732933;
I   ;312.766541;+44.986763;
I   ;312.766815;+45.020081;20510404+4501122
II  ;312.769379;+44.397247;20510465+4423501
I   ;312.770081;+44.861637;20510482+4451417
III ;312.770630;+44.242737;20510494+4414340
I   ;312.772400;+44.256332;
II  ;312.772736;+44.233112;20510545+4413593
II  ;312.773193;+44.797512;20510556+4447513
II  ;312.773773;+44.275551;20510570+4416322
II  ;312.777100;+44.807285;20510648+4448262
I   ;312.778473;+44.978317;
II  ;312.780243;+44.895245;20510725+4453428
flat;312.781372;+44.853767;20510751+4451136
flat;312.781830;+44.800232;20510763+4448010
II  ;312.783600;+44.530678;20510805+4431505
I   ;312.785126;+44.952400;20510840+4457088
II  ;312.785644;+44.409183;20510854+4424331
flat;312.786469;+44.794762;20510874+4447412
flat;312.786987;+44.886852;20510886+4453128
I   ;312.788391;+44.933453;
I   ;312.788574;+44.790951;
II  ;312.789551;+44.558228;20510950+4433296
II  ;312.790619;+44.857014;20510972+4451254
flat;312.793488;+44.976566;20511043+4458358
II  ;312.795624;+44.612266;20511096+4436443
flat;312.795685;+44.794167;20511094+4447391
flat;312.796570;+44.731033;20511117+4443514
II  ;312.800415;+44.313187;20511209+4418477
flat;312.803131;+44.970264;20511274+4458129
I   ;312.803589;+45.169632;20511287+4510109
II  ;312.805969;+44.438393;20511344+4426182
II  ;312.807068;+44.539581;20511367+4432225
II  ;312.809204;+44.609013;20511424+4436324
II  ;312.810669;+44.227158;20511455+4413379
III ;312.811676;+42.805500;20511478+4248198
II  ;312.813110;+44.304848;20511513+4418176
II  ;312.815125;+44.248630;20511562+4414552
II  ;312.818787;+44.382748;20511652+4422580
II  ;312.820160;+44.920013;20511684+4455119
II  ;312.820251;+44.341152;20511686+4420283
flat;312.821899;+44.910713;
II  ;312.823822;+44.308231;20511771+4418298
flat;312.824188;+44.766014;20511780+4445575
I   ;312.824768;+44.983921;20511794+4459021
II  ;312.825928;+44.218990;20511824+4413082
I   ;312.826019;+44.843113;20511818+4450348
I   ;312.830414;+44.841076;20511931+4450274
II  ;312.830963;+44.325142;20511945+4419306
II  ;312.832703;+44.385063;20511985+4423065
II  ;312.837463;+44.438789;20512099+4426196
I   ;312.838257;+44.053513;20512117+4403129
I   ;312.838867;+43.586250;20512132+4335105
II  ;312.839722;+43.609814;20512154+4336353
flat;312.842346;+44.837303;20512213+4450141
II  ;312.843506;+44.346218;20512245+4420465
flat;312.844116;+44.421009;20512258+4425157
II  ;312.844482;+44.352123;20512267+4421077
II  ;312.845062;+44.561817;20512281+4433426
flat;312.845429;+44.829922;20512292+4449477
I   ;312.845489;+44.074894;20512288+4404295
II  ;312.846130;+44.446072;20512307+4426461
I   ;312.847687;+44.586990;
II  ;312.848328;+44.261818;20512360+4415425
II  ;312.848633;+44.589607;20512369+4435226
II  ;312.850098;+44.549156;20512405+4432571
flat;312.850647;+44.299049;20512415+4417567
flat;312.851715;+44.217861;20512441+4413043
flat;312.852387;+44.825352;20512459+4449315
II  ;312.852936;+44.305153;20512470+4418187
II  ;312.853699;+43.619247;20512490+4337096
II  ;312.857300;+44.239212;20512574+4414213
flat;312.857696;+45.013222;20512584+4500476
flat;312.859283;+44.089943;
II  ;312.860168;+43.886826;20512645+4353125
II  ;312.860504;+44.607979;20512654+4436287
II  ;312.861176;+44.073479;20512667+4404246
II  ;312.862457;+44.220901;20512698+4413154
II  ;312.863739;+44.437321;20512731+4426146
flat;312.867432;+45.086834;
II  ;312.868500;+44.433586;20512845+4426011
II  ;312.868988;+44.227913;20512864+4413404
II  ;312.869080;+44.262619;20512855+4415454
flat;312.872955;+44.367252;20512952+4422022
III ;312.873688;+44.538784;20512969+4432197
I   ;312.875061;+44.254536;
II  ;312.875214;+44.208675;20513007+4412312
II  ;312.875824;+44.895268;20513020+4453431
II  ;312.876617;+44.824928;20513035+4449299
II  ;312.877380;+44.062473;20513057+4403449
II  ;312.878754;+44.116470;20513089+4406594
flat;312.880768;+45.098038;20513137+4505530
flat;312.882324;+45.067676;
II  ;312.882874;+44.048283;20513189+4402540
II  ;312.883575;+44.532669;20513205+4431577
II  ;312.884338;+44.842625;20513223+4450337
II  ;312.886658;+44.396664;20513278+4423480
II  ;312.888000;+44.616566;20513312+4436596
II  ;312.889099;+44.443630;20513338+4426370
II  ;312.889160;+44.589226;20513340+4435214
II  ;312.889160;+44.581799;20513340+4434543
II  ;312.889404;+45.090134;20513344+4505244
II  ;312.890381;+44.170700;20513370+4410145
I   ;312.894775;+44.823795;20513476+4449258
II  ;312.908081;+43.384659;20513795+4323047
II  ;312.909790;+43.953789;20513831+4357138
II  ;312.911041;+44.061314;20513865+4403409
II  ;312.913605;+44.407784;20513925+4424281
I   ;312.913971;+45.096317;
II  ;312.916412;+44.553921;20513996+4433143
II  ;312.919647;+43.220554;20514072+4313142
II  ;312.919861;+44.227520;20514076+4413391
II  ;312.922577;+44.251987;20514141+4415071
II  ;312.924591;+44.268967;20514191+4416082
II  ;312.925476;+44.649033;20514210+4438567
I   ;312.925598;+43.854336;20514212+4351157
II  ;312.928742;+44.125164;20514290+4407307
I   ;312.932159;+43.810703;20514371+4348384
III ;312.935089;+44.450390;20514442+4427015
flat;312.938202;+43.817333;20514515+4349024
II  ;312.941650;+44.476437;20514599+4428353
II  ;312.944916;+43.419750;20514679+4325113
II  ;312.945618;+44.554325;20514697+4433156
I   ;312.945648;+44.445129;
III ;312.945740;+44.427471;20514698+4425389
flat;312.948181;+44.419559;20514755+4425106
I   ;312.952332;+44.884731;20514854+4453051
II  ;312.952332;+44.088764;20514855+4405196
II  ;312.953125;+44.394676;20514876+4423410
II  ;312.953583;+44.184071;20514886+4411027
II  ;312.957886;+44.314892;20514988+4418538
II  ;312.959656;+44.080650;20515032+4404503
III ;312.966156;+44.374199;20515188+4422274
II  ;312.967804;+44.305874;20515226+4418213
flat;312.970429;+44.265961;20515289+4415574
II  ;312.970856;+44.396625;20515300+4423479
II  ;312.972595;+44.875462;20515345+4452318
II  ;312.973175;+43.825333;20515356+4349314
III ;312.974457;+43.084591;20515387+4305045
I   ;312.975494;+45.105198;
II  ;312.976593;+44.876564;20515436+4452359
I   ;312.979614;+44.256107;
I   ;312.981201;+44.289814;
II  ;312.982117;+44.564625;20515568+4433526
II  ;312.983612;+44.086781;20515605+4405125
I   ;312.985565;+44.137257;20515659+4408141
flat;312.988342;+44.037750;20515722+4402161
I   ;312.988831;+44.346649;20515730+4420480
II  ;312.991913;+44.072536;20515805+4404210
I   ;312.994263;+45.242458;
flat;312.994324;+44.249100;20515864+4414568
flat;312.994568;+44.507587;20515869+4430273
unkn;312.995093;+44.381311;
II  ;312.996674;+44.428841;20515921+4425439
II  ;312.997498;+44.272835;20515942+4416221
III ;312.997589;+43.844967;20515942+4350420
II  ;313.000671;+44.333008;20520017+4419590
I   ;313.001343;+45.232292;
flat;313.004150;+44.478191;20520099+4428413
II  ;313.004211;+44.145229;20520101+4408427
flat;313.006500;+44.338364;20520155+4420183
II  ;313.008423;+43.453625;20520200+4327132
II  ;313.011108;+44.457974;20520267+4427287
II  ;313.012268;+44.231060;20520292+4413518
flat;313.014496;+45.290512;20520351+4517261
II  ;313.015228;+44.477261;20520366+4428379
II  ;313.022217;+44.479633;20520535+4428468
II  ;313.023773;+43.009693;20520572+4300348
II  ;313.025024;+44.099712;20520602+4405590
II  ;313.025238;+44.287819;20520604+4417160
II  ;313.026733;+44.529232;20520640+4431450
II  ;313.027924;+44.465332;20520672+4427553
II  ;313.028137;+44.565308;20520675+4433549
II  ;313.029327;+43.486767;20520704+4329122
flat;313.030334;+44.980038;20520727+4458482
III ;313.031891;+44.062271;20520764+4403445
I   ;313.033478;+44.501320;
II  ;313.034973;+44.416267;20520840+4424585
II  ;313.035767;+44.570866;20520856+4434150
II  ;313.037231;+44.365131;20520895+4421545
II  ;313.039276;+43.336849;20520944+4320126
III ;313.040497;+44.434631;20520972+4426045
II  ;313.045807;+44.136173;20521101+4408102
flat;313.050598;+43.908550;20521212+4354308
II  ;313.053833;+44.348164;20521294+4420534
II  ;313.056610;+43.677483;20521358+4340389
I   ;313.057251;+44.024296;20521373+4401275
II  ;313.059936;+44.486530;20521439+4429113
II  ;313.061676;+43.996258;
flat;313.062042;+44.344105;20521487+4420387
II  ;313.063049;+43.502075;20521514+4330074
flat;313.063049;+44.289383;20521513+4417204
II  ;313.064392;+44.469669;20521545+4428107
II  ;313.073914;+44.684094;20521774+4441027
II  ;313.076508;+44.387081;20521835+4423135
flat;313.076660;+44.417221;20521839+4425020
II  ;313.076752;+44.275112;20521841+4416305
II  ;313.076935;+44.087471;20521845+4405151
II  ;313.082062;+44.413643;20521969+4424491
II  ;313.082519;+44.388992;20521981+4423204
II  ;313.084381;+44.508583;20522025+4430306
II  ;313.084595;+43.978550;20522031+4358427
III ;313.085449;+43.408688;20522050+4324311
II  ;313.086090;+44.483173;20522067+4428593
flat;313.086182;+43.846119;20522067+4350463
II  ;313.091339;+44.188835;20522192+4411197
II  ;313.093903;+44.233303;20522252+4414002
II  ;313.095337;+44.450398;20522288+4427013
II  ;313.096954;+43.082310;20522327+4304564
III ;313.098969;+44.604160;20522374+4436151
II  ;313.100098;+44.532032;20522402+4431552
II  ;313.100159;+44.579022;20522401+4434445
II  ;313.100494;+44.404831;20522411+4424175
flat;313.102447;+44.398647;20522457+4423552
II  ;313.105743;+44.242264;20522536+4414323
II  ;313.107574;+44.746433;20522581+4444471
flat;313.108673;+44.073204;20522610+4404235
II  ;313.111298;+44.442360;20522670+4426327
II  ;313.111511;+44.285080;20522676+4417066
III ;313.112030;+43.595478;20522688+4335437
II  ;313.112366;+44.069031;20522695+4404085
II  ;313.113312;+44.077534;20522717+4404391
flat;313.116852;+44.058666;20522802+4403311
II  ;313.118042;+44.354084;20522831+4421145
flat;313.119721;+45.136196;20522874+4508101
II  ;313.119965;+44.308231;20522880+4418297
flat;313.120026;+44.071541;20522880+4404177
II  ;313.122528;+44.288979;20522939+4417205
II  ;313.124084;+44.351261;20522977+4421045
flat;313.128479;+44.489700;
II  ;313.128723;+44.336494;20523089+4420115
II  ;313.133606;+43.571896;20523207+4334189
flat;313.134857;+44.313088;20523237+4418471
II  ;313.137421;+44.681652;20523298+4440541
II  ;313.138550;+44.527912;20523334+4431408
II  ;313.139954;+44.346096;20523358+4420459
II  ;313.140839;+44.407341;20523381+4424263
II  ;313.143158;+44.294521;20523437+4417402
II  ;313.143372;+44.640186;20523441+4438246
II  ;313.145019;+44.972183;20523479+4458198
II  ;313.147095;+44.555374;20523531+4433193
II  ;313.147522;+44.622822;20523541+4437222
III ;313.149506;+43.153377;20523587+4309120
II  ;313.149719;+43.667187;20523595+4340016
flat;313.151001;+44.178345;20523624+4410422
II  ;313.151886;+44.196205;20523647+4411463
III ;313.152802;+43.119545;20523669+4307104
III ;313.155518;+43.096314;20523733+4305467
II  ;313.155609;+43.392281;20523735+4323322
II  ;313.161224;+44.187775;20523869+4411160
II  ;313.162628;+43.418209;20523904+4325055
flat;313.162842;+44.684990;20523910+4441062
II  ;313.163117;+44.462395;20523915+4427445
II  ;313.164581;+43.998424;20523950+4359542
II  ;313.166016;+44.096649;20523985+4405481
II  ;313.166534;+44.395214;20523999+4423428
II  ;313.167511;+44.412464;20524021+4424449
III ;313.170898;+43.823616;20524100+4349249
II  ;313.172302;+44.236740;20524136+4414122
II  ;313.173462;+44.131077;20524163+4407517
II  ;313.174347;+44.448574;20524185+4426551
flat;313.175812;+44.570045;20524221+4434122
flat;313.176178;+43.231762;20524232+4313545
I   ;313.177368;+43.528652;20524259+4331428
II  ;313.178436;+44.319584;20524281+4419104
I   ;313.179016;+44.183849;20524295+4411019
II  ;313.181335;+44.374085;20524354+4422268
II  ;313.183807;+44.650017;20524410+4439000
II  ;313.184875;+44.639103;
II  ;313.189880;+44.745823;20524558+4444450
flat;313.192261;+44.416042;20524615+4424576
II  ;313.192535;+44.529537;20524619+4431464
II  ;313.195068;+44.041870;20524679+4402308
II  ;313.197876;+44.261581;20524748+4415420
flat;313.199097;+44.325226;
flat;313.200928;+44.588417;20524822+4435182
II  ;313.202820;+44.330692;20524866+4419507
flat;313.205414;+44.633186;20524929+4437596
II  ;313.206604;+44.701492;20524957+4442054
II  ;313.207550;+44.317223;20524982+4419022
II  ;313.216217;+44.428932;20525190+4425442
II  ;313.218689;+44.240265;20525249+4414252
II  ;313.221252;+44.569576;20525308+4434103
II  ;313.221771;+44.671547;20525324+4440175
II  ;313.222656;+44.326763;20525343+4419365
II  ;313.222809;+44.478939;20525346+4428444
flat;313.223969;+44.249138;20525373+4414571
I   ;313.224426;+44.234062;
III ;313.225861;+43.355293;20525419+4321189
II  ;313.226257;+43.871208;20525430+4352165
II  ;313.226288;+44.689239;20525431+4441212
III ;313.231598;+44.247013;20525557+4414494
II  ;313.236114;+44.496738;20525667+4429484
II  ;313.237213;+44.433502;20525693+4426005
II  ;313.238800;+44.679535;20525728+4440463
II  ;313.239227;+44.482010;20525740+4428553
II  ;313.240265;+44.406094;20525767+4424220
II  ;313.245117;+44.478169;20525882+4428415
III ;313.245209;+44.251068;20525882+4415038
II  ;313.248688;+44.467579;20525966+4428034
flat;313.253174;+44.829296;20530075+4449455
III ;313.256256;+42.840000;20530148+4250243
II  ;313.257294;+44.190559;20530176+4411259
II  ;313.257507;+44.318260;20530179+4419058
II  ;313.259766;+44.012940;20530232+4400466
II  ;313.260803;+44.460686;20530259+4427386
II  ;313.262421;+45.081306;20530298+4504528
II  ;313.262817;+44.620068;20530305+4437122
II  ;313.263702;+44.663582;20530329+4439488
I   ;313.264038;+43.933128;20530340+4355593
II  ;313.269806;+45.036690;20530476+4502122
II  ;313.271454;+44.339146;20530513+4420212
I   ;313.271637;+43.437027;20530518+4326134
II  ;313.271973;+44.698425;20530526+4441545
II  ;313.273895;+44.710228;20530574+4442368
II  ;313.274719;+44.260746;20530594+4415388
flat;313.275574;+44.402771;20530612+4424099
II  ;313.276398;+44.044529;20530632+4402402
II  ;313.284088;+44.087254;20530817+4405143
II  ;313.287628;+44.503002;20530906+4430106
II  ;313.292908;+44.363518;20531029+4421486
II  ;313.296387;+44.396545;20531111+4423474
flat;313.298126;+44.052731;20531157+4403097
I   ;313.298370;+43.983147;
II  ;313.299377;+44.257824;20531184+4415282
II  ;313.301117;+43.641331;20531227+4338287
II  ;313.302124;+44.518574;20531250+4431068
II  ;313.302551;+44.478867;20531262+4428439
II  ;313.303650;+44.125526;20531286+4407315
II  ;313.306519;+44.376823;20531357+4422364
